ModelID,Num_ModelID,Model_Name,Model_Type,RDBMS_Type
AE406F9F-E8B8-4D5C-5D14-A4803227B0EC,69,"Logical",Logical,,
EDCE0EF5-6012-FAA1-0A2D-4969BBEA7A53,143,"Relational_1",Relational,SQL Server 2005,
