ColumnID,Num_ColumnID,Table_ID,Num_Table_ID,Table_Name,Column_Name
3DF33BEC-2304-9DE8-A8A1-389F7B7599EF,171,903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,"Journey","j_id",
39442211-189D-C4C3-B08B-6CE0BE3D6037,157,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,"JourneyTask","QuestTask_qt_id",
FF237A19-A763-45A1-61DE-368C35FD2C64,155,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,"JourneyTask","Journey_j_id",
A4EC2137-D7CB-CB1B-FC92-7D541EEC211A,176,741233A4-8E97-8D51-4B28-4098E59EF913,146,"Quest","q_id",
F953BB59-A3EF-BC59-4A1A-A11AAB85A51D,185,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,"QuestTask","qt_id",
BDFCC28E-8109-F9D8-DCB4-CC2D2A245DA5,180,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,"QuestTaskItem","qi_id",
7D94046F-624C-BCB4-C49E-7ED449B1B100,192,5D589AEE-D216-4847-85D5-51809CB6B333,149,"User","u_id",
3A76B496-CE3C-0351-A522-09247BF8A663,168,A3ABA074-74E7-EA0E-E8FD-11F65D11B4B4,151,"UserIntentory","i_id",
AAF82D6C-9CE2-D9E2-80DF-E5298E91F530,163,776C13CF-C0E8-B699-FE19-5F038705B320,152,"User_inventory","User_u_id",
812329D2-A036-EB04-B235-732462FC62C3,160,776C13CF-C0E8-B699-FE19-5F038705B320,152,"User_inventory","UserIntentory_i_id",
819464F9-77BC-4EFF-BF80-ACE257526D15,164,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,"Users__World","User_u_id",
93544398-D313-275D-09C9-AD04ADEA53FF,166,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,"Users__World","World_w_id",
8B11A941-AA8B-AA18-126B-052309FDB637,202,34E9FC14-48F3-CE99-DF25-B34B668C52F7,154,"World","w_id",
