Index_ID,Num_Index_ID,ColumnID,Num_ColumnID,Table_ID,Num_Table_ID,Index_Name,Table_Name,Column_Name,Sequence,Sort_Order
2D083574-2B1C-4D76-5093-BE8958E15158,204,3DF33BEC-2304-9DE8-A8A1-389F7B7599EF,171,903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,"Journey_PK","Journey","j_id",1,ASC,
6885FA59-90E2-0CCC-426C-D2BBFF257D39,205,39442211-189D-C4C3-B08B-6CE0BE3D6037,157,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,"JourneyTask_PK","JourneyTask","QuestTask_qt_id",1,ASC,
6885FA59-90E2-0CCC-426C-D2BBFF257D39,205,FF237A19-A763-45A1-61DE-368C35FD2C64,155,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,"JourneyTask_PK","JourneyTask","Journey_j_id",2,ASC,
E4ADD54E-7E68-659A-5CE1-05A15F28EF32,206,A4EC2137-D7CB-CB1B-FC92-7D541EEC211A,176,741233A4-8E97-8D51-4B28-4098E59EF913,146,"Quest_PK","Quest","q_id",1,ASC,
DE239CAD-1231-C687-F969-A39A0E39D2CA,207,F953BB59-A3EF-BC59-4A1A-A11AAB85A51D,185,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,"QuestTask_PK","QuestTask","qt_id",1,ASC,
B8C9DD8E-624A-4DDD-F1ED-E445C13F5A18,208,BDFCC28E-8109-F9D8-DCB4-CC2D2A245DA5,180,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,"QuestTaskItem_PK","QuestTaskItem","qi_id",1,ASC,
F407E168-C442-5285-5056-E773C018C25B,209,7D94046F-624C-BCB4-C49E-7ED449B1B100,192,5D589AEE-D216-4847-85D5-51809CB6B333,149,"User_PK","User","u_id",1,ASC,
28FD1F87-5F1D-5A80-8971-BF642BF1985E,211,3A76B496-CE3C-0351-A522-09247BF8A663,168,A3ABA074-74E7-EA0E-E8FD-11F65D11B4B4,151,"UserIntentory_PK","UserIntentory","i_id",1,ASC,
C6ACEB30-B468-BC75-1F90-69BE6F8CE796,212,8B11A941-AA8B-AA18-126B-052309FDB637,202,34E9FC14-48F3-CE99-DF25-B34B668C52F7,154,"World_PK","World","w_id",1,ASC,
14E984DF-EE11-5D4D-3D33-926AC4112AA2,213,FF237A19-A763-45A1-61DE-368C35FD2C64,155,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,"JourneyTask_Journey_FK","JourneyTask","Journey_j_id",1,ASC,
84C69BE9-CBE4-7B31-9200-F0F4F05C639C,214,39442211-189D-C4C3-B08B-6CE0BE3D6037,157,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,"JourneyTask_QuestTask_FK","JourneyTask","QuestTask_qt_id",1,ASC,
FB62A634-DCAD-D890-E3F0-489E806DF420,215,AA0B7070-5765-3414-756B-99EB71A1D32F,159,9FA5B367-889C-35F3-E6DB-2D9BAADD847E,147,"QuestTask_Quest_FK","QuestTask","Quest_q_id",1,ASC,
981111DA-EA8A-470E-8B2A-67A222DC451E,216,54126FE2-4D4E-7480-86D7-B2321FDF72FB,158,38B48F6B-7A60-6A80-3736-1A04C67197D9,148,"QuestTaskItem_QuestTask_FK","QuestTaskItem","QuestTask_qt_id",1,ASC,
27B03D72-7990-DD86-EA91-53759E0FCFFF,217,C4107707-7363-373E-DE9C-49B683E5CC18,156,41A737C2-6F15-FEAA-FDBF-35CA60E5329F,145,"JourneyTask_QuestTaskItem_FK","JourneyTask","QuestTaskItem_qi_id",1,ASC,
AFE04624-1AAD-AE11-1D69-5A02AA782D68,218,B64695BD-5234-B057-DD7A-A57486AD1845,161,903FFAEC-0572-C6FC-37BF-86F9CDB83675,144,"Journey_User_FK","Journey","User_u_id",1,ASC,
B5CEEDC3-1FDF-2536-F769-3CF2838943BB,219,21ABF79C-ED9A-D741-5FF6-862D75DF256A,162,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,"UserDetails_User_FK","UserDetails","User_u_id",1,ASC,
F8C2D64D-7792-EA50-B691-A658890B8E58,220,21ABF79C-ED9A-D741-5FF6-862D75DF256A,162,283A0530-E285-C5F1-AA99-4FC1BFB42288,150,"UserDetails__IDX","UserDetails","User_u_id",1,ASC,
E557AECF-E6E4-7BC9-59F6-29FB33D5D3BF,221,8CED528D-1083-309D-3798-252DD96522FA,165,741233A4-8E97-8D51-4B28-4098E59EF913,146,"Quest_World_FK","Quest","World_w_id",1,ASC,
0E50CB2D-6AA2-DA68-D7A1-F83069D94F47,222,AAF82D6C-9CE2-D9E2-80DF-E5298E91F530,163,776C13CF-C0E8-B699-FE19-5F038705B320,152,"User_inventory_PK","User_inventory","User_u_id",1,ASC,
0E50CB2D-6AA2-DA68-D7A1-F83069D94F47,222,812329D2-A036-EB04-B235-732462FC62C3,160,776C13CF-C0E8-B699-FE19-5F038705B320,152,"User_inventory_PK","User_inventory","UserIntentory_i_id",2,ASC,
138FC683-B519-6893-6322-0B77D9C673B4,223,AAF82D6C-9CE2-D9E2-80DF-E5298E91F530,163,776C13CF-C0E8-B699-FE19-5F038705B320,152,"FK_ASS_17","User_inventory","User_u_id",1,ASC,
73E7225D-2F99-AD44-5D95-3D610A656E04,224,812329D2-A036-EB04-B235-732462FC62C3,160,776C13CF-C0E8-B699-FE19-5F038705B320,152,"FK_ASS_18","User_inventory","UserIntentory_i_id",1,ASC,
DF21B7D1-7AEC-AB04-B0A7-DDF811FE7D35,227,819464F9-77BC-4EFF-BF80-ACE257526D15,164,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,"Users__World_PK","Users__World","User_u_id",1,ASC,
DF21B7D1-7AEC-AB04-B0A7-DDF811FE7D35,227,93544398-D313-275D-09C9-AD04ADEA53FF,166,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,"Users__World_PK","Users__World","World_w_id",2,ASC,
2C08F99B-8C9D-B159-83CD-D88051D378DF,228,819464F9-77BC-4EFF-BF80-ACE257526D15,164,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,"FK_ASS_21","Users__World","User_u_id",1,ASC,
6B55BCE1-7CCC-E2C2-F01B-D651AD198A8C,229,93544398-D313-275D-09C9-AD04ADEA53FF,166,BAFCE350-82BB-C9BE-CB88-85DE918A3C3E,153,"FK_ASS_22","Users__World","World_w_id",1,ASC,
